unix_time,local_time,utc_time,temp,cond,sal,nitrate,hdo,sat,phv,ph,s_nitrate,s_nitrogen,nitrate_flg,oxygen_flg,temp_flg,key
1563897685.40459,2019/07/23 09:01:25.404587 US/Pacific,2019-07-23T16:01:25+00:00,15.88,,,,3.808,-118.06,,,25.66,0.3594,1,4,1,1
1563638485.56458,2019/07/20 09:01:25.564576 US/Pacific,2019-07-20T16:01:25+00:00,17.27,,,,3.066,-129.02,,,45.3,0.6345,1,4,1,2
1563724885.03454,2019/07/21 09:01:25.034539 US/Pacific,2019-07-21T16:01:25+00:00,17.066,,,,4.008,-115.88,,,34.02,0.4765,1,4,1,3
1563811285.30462,2019/07/22 09:01:25.304617 US/Pacific,2019-07-22T16:01:25+00:00,16.16,,,,4.086,-120.02,,,30.1,0.4216,1,4,1,4
1563984084.98455,2019/07/24 09:01:24.984554 US/Pacific,2019-07-24T16:01:24+00:00,16.07,,,,3.554,-116.74,,,12.84,0.1798,1,4,1,5
1564070484.79464,2019/07/25 09:01:24.794639 US/Pacific,2019-07-25T16:01:24+00:00,17.04,,,,2.876,-114.9,,,13.73,0.1923,1,4,1,6
1564153284.97461,2019/07/26 08:01:24.974612 US/Pacific,2019-07-26T15:01:24+00:00,16.17,,,,2.776,-114.94,,,13.16,0.1843,1,4,1,7
1564239685.03857,2019/07/27 08:01:25.038569 US/Pacific,2019-07-27T15:01:25+00:00,16.312,,,,2.646,-119.2,,,22.43,0.3141,1,4,1,8
1564326085.41853,2019/07/28 08:01:25.418530 US/Pacific,2019-07-28T15:01:25+00:00,16.52,,,,2.298,-112.84,,,17.44,0.2443,1,4,1,9
1564412485.56861,2019/07/29 08:01:25.568612 US/Pacific,2019-07-29T15:01:25+00:00,15.532,,,,2.12,-117.8,,,14.02,0.1964,1,4,1,10
1564498885.34857,2019/07/30 08:01:25.348572 US/Pacific,2019-07-30T15:01:25+00:00,15.922,,,,1.962,-111.54,,,21.98,0.3079,1,4,1,11
1564585285.54854,2019/07/31 08:01:25.548542 US/Pacific,2019-07-31T15:01:25+00:00,15.73,,,,2.004,-118.26,,,19.05,0.2669,1,4,1,12
1564671684.92851,2019/08/01 08:01:24.928505 US/Pacific,2019-08-01T15:01:24+00:00,15.704,,,,1.714,-114.46,,,4.38,0.0613,1,4,1,13
1564758084.94859,2019/08/02 08:01:24.948585 US/Pacific,2019-08-02T15:01:24+00:00,16.956,,,,2.258,-108.9,,,6.57,0.092,1,4,1,14
1564844485.05856,2019/08/03 08:01:25.058557 US/Pacific,2019-08-03T15:01:25+00:00,16.33,,,,2.178,-112.18,,,26.4,0.3697,1,4,1,15
1564930885.46852,2019/08/04 08:01:25.468522 US/Pacific,2019-08-04T15:01:25+00:00,16.612,,,,2.284,-121.46,,,30.53,0.4276,1,4,1,16
1565017284.73861,2019/08/05 08:01:24.738610 US/Pacific,2019-08-05T15:01:24+00:00,16.48,,,,2.472,-124.36,,,47.57,0.6663,1,4,1,17
1565103685.11858,2019/08/06 08:01:25.118582 US/Pacific,2019-08-06T15:01:25+00:00,15.47,,,,2.198,-120.78,,,47.96,0.6718,1,4,1,18
