unix_time,local_time,utc_time,temp,cond,sal,nitrate,hdo,sat,phv,ph,s_nitrate,s_nitrogen,nitrate_flg,oxygen_flg,temp_flg,key
1496691749.6,2017/06/05 12:42:29.596984 US/Pacific,2017-06-05T19:42:29+00:00,20.81,3478.2,1.83,49.92,2.666,29.92,10.86,6.698,,,1,1,1,1
1496693774.75,2017/06/05 13:16:14.745252 US/Pacific,2017-06-05T20:16:14+00:00,21.108,3474.2,1.824,75.76,3.626,40.96,7.98,6.75,,,1,1,1,2
1496695799.71,2017/06/05 13:49:59.706075 US/Pacific,2017-06-05T20:49:59+00:00,21.282,3455.6,1.81,82.36,3.312,37.54,8.38,6.742,,,1,1,1,3
1496697825.03,2017/06/05 14:23:45.034286 US/Pacific,2017-06-05T21:23:45+00:00,21.376,3423.8,1.798,91.68,3.284,37.34,8.02,6.748,,,1,1,1,4
1496699850.41,2017/06/05 14:57:30.410859 US/Pacific,2017-06-05T21:57:30+00:00,21.502,3386.6,1.772,96.9,3.048,34.74,8.28,6.746,,,1,1,1,5
1496701875.4,2017/06/05 15:31:15.404312 US/Pacific,2017-06-05T22:31:15+00:00,21.64,3398,1.78,112.62,4.286,48.92,4.54,6.814,,,1,1,1,6
1496703900.41,2017/06/05 16:05:0.410946 US/Pacific,2017-06-05T23:05:00+00:00,21.656,3379.4,1.77,115.04,4.446,50.74,3.46,6.832,,,1,1,1,7
1496704916.83,2017/06/05 16:21:56.826259 US/Pacific,2017-06-05T23:21:56+00:00,21.72,3326.6,1.74,104.7,2.404,27.52,7.36,6.762,,,1,1,1,8
1496706942.12,2017/06/05 16:55:42.118192 US/Pacific,2017-06-05T23:55:42+00:00,21.59,3331.2,1.742,119.58,3.97,45.24,3.88,6.822,,,1,1,1,9
1496708967.01,2017/06/05 17:29:27.008533 US/Pacific,2017-06-06T00:29:27+00:00,21.38,3296.6,1.724,118.32,3.374,38.3,4.86,6.804,,,1,1,1,10
1496710992.2,2017/06/05 18:03:12.196675 US/Pacific,2017-06-06T01:03:12+00:00,21.168,3296.6,1.728,130.8,3.25,36.8,3.04,6.838,,,1,1,1,11
1496713017.25,2017/06/05 18:36:57.250644 US/Pacific,2017-06-06T01:36:57+00:00,20.848,3263.4,1.71,137.4,3.956,44.46,0.98,6.876,,,1,1,1,12
1496715042.31,2017/06/05 19:10:42.308375 US/Pacific,2017-06-06T02:10:42+00:00,20.508,3261.2,1.71,134.9,3.774,42.08,0.36,6.888,,,1,1,1,13
1496717067.72,2017/06/05 19:44:27.719998 US/Pacific,2017-06-06T02:44:27+00:00,20.072,3222.4,1.69,141.66,3.43,37.92,0.12,6.892,,,1,1,1,14
1496719093.03,2017/06/05 20:18:13.025485 US/Pacific,2017-06-06T03:18:13+00:00,19.716,3217.4,1.68,148.16,3.082,33.82,-0.18,6.9,,,1,1,1,15
1496721118.19,2017/06/05 20:51:58.191758 US/Pacific,2017-06-06T03:51:58+00:00,19.522,3193.6,1.67,155.68,3.32,36.38,-1.68,6.926,,,1,1,1,16
1496723143.49,2017/06/05 21:25:43.490613 US/Pacific,2017-06-06T04:25:43+00:00,19.27,3154.8,1.65,146.64,2.176,23.66,1.3,6.87,,,1,1,1,17
1496725168.57,2017/06/05 21:59:28.568647 US/Pacific,2017-06-06T04:59:28+00:00,19.118,3158,1.65,151.28,1.856,20.16,2.8,6.84,,,1,1,1,18
1496727193.38,2017/06/05 22:33:13.377064 US/Pacific,2017-06-06T05:33:13+00:00,19.254,3149.8,1.65,155.7,4.09,44.5,0.36,6.89,,,1,1,1,19
1496729218.2,2017/06/05 23:06:58.196359 US/Pacific,2017-06-06T06:06:58+00:00,18.984,3119.6,1.63,154.38,2.44,26.4,3.62,6.83,,,1,1,1,20
1496731242.81,2017/06/05 23:40:42.813269 US/Pacific,2017-06-06T06:40:42+00:00,18.9,3118.2,1.63,165.56,2.254,24.44,3.38,6.83,,,1,1,1,21
1496733267.51,2017/06/06 00:14:27.505435 US/Pacific,2017-06-06T07:14:27+00:00,18.9,3101,1.62,163.1,2.43,26.3,3.7,6.83,,,1,1,1,22
1496735292.5,2017/06/06 00:48:12.501131 US/Pacific,2017-06-06T07:48:12+00:00,18.87,3097.2,1.62,177.46,2.59,28,3.24,6.832,,,1,1,1,23
1496737317.29,2017/06/06 01:21:57.290544 US/Pacific,2017-06-06T08:21:57+00:00,18.78,3072.8,1.604,181.56,1.462,15.76,4.44,6.81,,,1,1,1,24
1496739342.21,2017/06/06 01:55:42.213226 US/Pacific,2017-06-06T08:55:42+00:00,18.92,3062,1.6,204.1,2.184,23.58,1.8,6.86,,,1,1,1,25
1496741367,2017/06/06 02:29:27.002524 US/Pacific,2017-06-06T09:29:27+00:00,18.844,3056.6,1.6,212.6,2.138,23.08,1.22,6.87,,,1,1,1,26
1496743391.82,2017/06/06 03:03:11.815180 US/Pacific,2017-06-06T10:03:11+00:00,18.71,3018,1.572,191.06,1.438,15.48,4.18,6.818,,,1,1,1,27
1496745416.72,2017/06/06 03:36:56.721030 US/Pacific,2017-06-06T10:36:56+00:00,18.65,2992.2,1.56,188.02,0.788,8.48,6.36,6.78,,,1,1,1,28
