unix_time,local_time,utc_time,temp,cond,sal,nitrate,hdo,sat,phv,ph,s_nitrate,s_nitrogen,nitrate_flg,oxygen_flg,temp_flg,key
1496691593.81,2017/06/05 12:39:53.810624 US/Pacific,2017-06-05T19:39:53+00:00,20.774,3461.2,1.82,46.52,4.248,47.7,0.62,6.884,,,1,1,1,1
1496693619.01,2017/06/05 13:13:39.012548 US/Pacific,2017-06-05T20:13:39+00:00,21.042,3472.8,1.82,79.88,3.668,41.38,6.34,6.776,,,1,1,1,2
1496695644.02,2017/06/05 13:47:24.019246 US/Pacific,2017-06-05T20:47:24+00:00,21.252,3451.4,1.81,88.32,3.356,38.06,5.84,6.788,,,1,1,1,3
1496697669.29,2017/06/05 14:21:9.292522 US/Pacific,2017-06-05T21:21:09+00:00,21.34,3420.6,1.79,97.06,3.248,36.88,6.64,6.774,,,1,1,1,4
1496699694.59,2017/06/05 14:54:54.585201 US/Pacific,2017-06-05T21:54:54+00:00,21.48,3383,1.77,100.66,3.2,36.44,7,6.768,,,1,1,1,5
1496701719.6,2017/06/05 15:28:39.595263 US/Pacific,2017-06-05T22:28:39+00:00,21.598,3398.4,1.78,118.02,4.316,49.26,3.08,6.838,,,1,1,1,6
1496703744.68,2017/06/05 16:02:24.679011 US/Pacific,2017-06-05T23:02:24+00:00,21.67,3379.6,1.77,123.02,4.49,51.24,1.28,6.872,,,1,1,1,7
1496704761.01,2017/06/05 16:19:21.011396 US/Pacific,2017-06-05T23:19:21+00:00,21.776,3331.6,1.74,107.56,2.656,30.44,5.56,6.792,,,1,1,1,8
1496706786.31,2017/06/05 16:53:6.311811 US/Pacific,2017-06-05T23:53:06+00:00,21.638,3339.8,1.75,127.84,4.062,46.32,2.02,6.856,,,1,1,1,9
1496708811.27,2017/06/05 17:26:51.272555 US/Pacific,2017-06-06T00:26:51+00:00,21.414,3306.4,1.73,126.44,3.884,44.14,2.96,6.842,,,1,1,1,10
1496710836.54,2017/06/05 18:00:36.541868 US/Pacific,2017-06-06T01:00:36+00:00,21.168,3291.4,1.72,134.12,3.14,35.5,2.38,6.85,,,1,1,1,11
